"pais","iso3c","año","apertura_comercial","pbi_crec","ied_pct_pbi"
"Afghanistan","AFG",1990,52.9227557411273,7.3151991944807,0.574192375289952
"Afghanistan","AFG",2010,22.772178113177,14.3624414710737,1.20311798981139
"Afghanistan","AFG",2001,110.784733057905,-9.4319740700862,0.0241685679088889
"Albania","ALB",1990,39.4369634031142,-9.57564016993408,1.16188482395643
"Albania","ALB",2001,64.2474462587009,8.8637306604876,5.10708868615592
"Albania","ALB",2010,75.5325329687378,2.97315442681247,9.01744998049889
"Algeria","DZA",1990,48.3807136815584,0.800000580174981,0.000539762481887
"Algeria","DZA",2010,63.4912159928425,4.80000000093564,1.29390467487817
"Algeria","DZA",2001,54.5296491177208,2.99999999863043,1.87349238167778
"American Samoa","ASM",1990,79.4114959334734,6.77282195004784,0.883605842004661
"American Samoa","ASM",2010,157.940663176265,0.299850074962521,22.4548244118649
"American Samoa","ASM",2001,65.6330798689153,5.57178818533122,-1.85568619300523
"Andorra","AND",2001,49.170945185829,8.11935772169949,1.62207726789971
"Andorra","AND",2010,85.5484498816191,-1.97495799965345,3.20438209801498
"Andorra","AND",1990,56.4071856287425,3.78138754899436,2.58851936306874
"Angola","AGO",2010,104.123635308845,4.39837593810763,-3.85111149953586
"Angola","AGO",1990,95.7320572733056,-3.45009868500253,-2.98142869155218
"Angola","AGO",2001,99.7803263266018,4.2059985561951,24.0090757001341
"Antigua and Barbuda","ATG",1990,145.44871880643,3.01181316687232,12.6603432002104
"Antigua and Barbuda","ATG",2010,161.324371722227,-7.84050683730972,7.21860114712015
"Antigua and Barbuda","ATG",2001,270.765630443257,-4.54810977120295,16.6117778808366
"Argentina","ARG",2001,21.8522554515453,-4.40883968258557,0.806164134759348
"Argentina","ARG",1990,14.9908589999441,-2.46721377810472,1.29887904052817
"Argentina","ARG",2010,34.9710132635696,10.1253981561002,2.67516171886535
"Armenia","ARM",2001,69.8642663925336,9.59999999927597,3.29806741743693
"Armenia","ARM",2010,64.642975973633,2.2000000002151,5.7160373406455
"Armenia","ARM",1990,81.3357185450209,-2.0440915137989,3.65899790543178
"Aruba","ABW",2010,135.464654677581,-2.73345679250639,7.61167220218675
"Aruba","ABW",2001,140.391108618306,4.1820016304779,-14.0750555726085
"Aruba","ABW",1990,124.064754399607,3.96140172360629,17.063550036523
"Australia","AUS",1990,32.1527144597396,3.57741096455418,2.7158165321445
"Australia","AUS",2010,40.5215889941287,2.21998026536549,3.0948394339821
"Australia","AUS",2001,44.2187044989977,2.02510553454593,2.82305214676613
"Austria","AUT",2001,87.9962567186047,1.31698749571339,2.89572243102078
"Austria","AUT",1990,71.769481946408,4.34564183768971,0.393820997085781
"Austria","AUT",2010,99.6448825546716,1.80898243043663,-5.64539670207833
"Azerbaijan","AZE",2001,78.8151854917601,9.89999969070337,14.3593922707314
"Azerbaijan","AZE",1990,83.0832196452933,3.96140172360629,2.95949603020482
"Azerbaijan","AZE",2010,74.9859884610856,4.7888327097977,6.337255132933
"Bahamas, The","BHS",1990,110.120025268478,-1.59624908755521,-0.536955148452306
"Bahamas, The","BHS",2001,72.5008806383396,2.62600982683425,1.23072964943982
"Bahamas, The","BHS",2010,78.6756024311196,1.53866248693835,8.63699216304667
"Bahrain","BHR",2010,115.561486449616,4.3342989754845,0.581105356633959
"Bahrain","BHR",1990,184.828804680899,4.43799717642609,1.90778894252364
"Bahrain","BHR",2001,127.026266277537,2.49094875338352,0.895243944446186
"Bangladesh","BGD",1990,18.9665020125385,5.62225816160344,0.0102498457488283
"Bangladesh","BGD",2010,37.8028426708321,5.57178818533122,1.06896766308322
"Bangladesh","BGD",2001,32.0980170730117,5.07728777526728,0.145443904569924
"Barbados","BRB",2010,92.8490685069707,-2.21771085628227,8.19344765818078
"Barbados","BRB",2001,128.606575425363,-2.36546466744477,2.99574106858733
"Barbados","BRB",1990,149.4476838941,-3.30759330759331,0.557283807402607
"Belarus","BLR",2001,137.044930473063,4.72530604051069,0.775405864952368
"Belarus","BLR",1990,89.6073903002309,0.330018546071486,0.884904611686012
"Belarus","BLR",2010,115.917972989303,7.75001706649201,2.43465600372626
"Belgium","BEL",1990,121.467851074465,3.13740221731629,3.91889227088431
"Belgium","BEL",2010,150.162563621427,2.71031150254662,26.0596407490286
"Belgium","BEL",2001,139.576839834619,1.09960362419645,37.2564694834172
"Belize","BLZ",2010,95.0335109125279,1.11403578740261,5.52499725518722
"Belize","BLZ",2001,93.1105047748977,4.99396775490806,5.21613991020445
"Belize","BLZ",1990,79.4114959334734,11.4464944649447,3.14356209448963
"Benin","BEN",1990,45.7201821451396,8.9761343599898,-0.150760018353931
"Benin","BEN",2010,51.4308599492924,2.11406472648392,0.561144747750256
"Benin","BEN",2001,48.2571706392197,5.33313570603937,0.456588183737808
"Bermuda","BMU",2001,39.5000053977394,7.22243553752608,1.13572050190152
"Bermuda","BMU",2010,74.595080341836,-2.50287828947368,3.35684080299419
"Bermuda","BMU",1990,149.4476838941,0.0192122847020073,0.603728082178911
"Bhutan","BTN",2001,71.0945747295588,7.32837435673082,0.772615057834218
"Bhutan","BTN",2010,105.010666693593,11.9318738376229,4.40487201345335
"Bhutan","BTN",1990,61.2162874391515,10.3831179126517,0.556009229910456
"Bolivia","BOL",1990,46.7032725841847,4.63578742813276,0.558798940852009
"Bolivia","BOL",2010,75.5116262512877,4.1267225910567,3.16542867647895
"Bolivia","BOL",2001,45.2278224315522,1.68379912721825,8.66860569359696
"Bosnia and Herzegovina","BIH",2010,80.9682159626823,0.865669260237084,2.5840244914247
